Timestamp, Selection, Source, Description, Index
1749306633181, 2D, State, INIT, 
1749306633186, 2D, State, START, 
1749306635631, 2D, State, WAIT, 
1749306659589, 2D, State, RESET, 
1749306659612, 2D, App Event, Target direction[Up_out_left], 1 / 1
1749306662473, 2D, Control Event, UP, 6 / 5
1749306662574, 2D, Control Event, UP, 5 / 5
1749306663736, 2D, Control Event, UP, 4 / 5
1749306664975, 2D, Control Event, UP, 3 / 5
1749306665694, 2D, Control Event, UP, 2 / 5
1749306666315, 2D, Control Event, UP, 1 / 5
1749306667745, 2D, Control Event, LEFT, 1 / 4
1749306668233, 2D, Control Event, LEFT, 1 / 3
1749306669678, 2D, Control Event, LEFT, 1 / 2
1749306672355, 2D, Control Event, LEFT, 1 / 1
1749306673435, 2D, Control Event, SELECT, 1 / 1
1749306673459, 2D, App Event, Target selected, 
1749306673481, 2D, State, WAIT, 
1749306693298, 2D, State, RESET, 
1749306693316, 2D, App Event, Target direction[Up_right], 5 / 6
1749306695082, 2D, Control Event, UP, 6 / 5
1749306695804, 2D, Control Event, RIGHT, 6 / 6
1749306696523, 2D, Control Event, UP, 5 / 6
1749306703594, 2D, Control Event, UP, 4 / 6
1749306705261, 2D, Control Event, DOWN, 5 / 6
1749306706084, 2D, Control Event, SELECT, 5 / 6
1749306706108, 2D, App Event, Target selected, 
1749306706132, 2D, State, WAIT, 
1749306724093, 2D, State, RESET, 
1749306724112, 2D, App Event, Target direction[Up_left], 6 / 4
1749306726215, 2D, Control Event, UP, 6 / 5
1749306729285, 2D, Control Event, LEFT, 6 / 4
1749306729948, 2D, Control Event, SELECT, 6 / 4
1749306729970, 2D, App Event, Target selected, 
1749306729993, 2D, State, WAIT, 
1749306750900, 2D, State, RESET, 
1749306750919, 2D, App Event, Target direction[Down_left], 10 / 4
1749306757335, 2D, Control Event, LEFT, 7 / 4
1749306758375, 2D, Control Event, DOWN, 8 / 4
1749306759076, 2D, Control Event, DOWN, 9 / 4
1749306760514, 2D, Control Event, DOWN, 10 / 4
1749306761311, 2D, Control Event, SELECT, 10 / 4
1749306761334, 2D, App Event, Target selected, 
1749306761357, 2D, State, WAIT, 
1749306776853, 2D, State, RESET, 
1749306776876, 2D, App Event, Target direction[Down_out_left], 13 / 2
1749306779955, 2D, Control Event, LEFT, 7 / 4
1749306780372, 2D, Control Event, LEFT, 7 / 3
1749306781093, 2D, Control Event, LEFT, 7 / 2
1749306782839, 2D, Control Event, DOWN, 8 / 2
1749306783296, 2D, Control Event, DOWN, 9 / 2
1749306783460, 2D, Control Event, DOWN, 10 / 2
1749306783855, 2D, Control Event, DOWN, 11 / 2
1749306784380, 2D, Control Event, DOWN, 12 / 2
1749306785215, 2D, Control Event, DOWN, 13 / 2
1749306785352, 2D, Control Event, DOWN, 13 / 2
1749306785598, 2D, Control Event, DOWN, 13 / 2
1749306786563, 2D, Control Event, SELECT, 13 / 2
1749306786590, 2D, App Event, Target selected, 
1749306786613, 2D, State, WAIT, 
1749306811312, 2D, State, RESET, 
1749306811332, 2D, App Event, Target direction[Up_out_right], 2 / 9
1749306820315, 2D, Control Event, RIGHT, 7 / 6
1749306822459, 2D, Control Event, RIGHT, 7 / 7
1749306822765, 2D, Control Event, RIGHT, 7 / 8
1749306823480, 2D, Control Event, RIGHT, 7 / 9
1749306825638, 2D, Control Event, UP, 6 / 9
1749306826165, 2D, Control Event, UP, 5 / 9
1749306826441, 2D, Control Event, UP, 4 / 9
1749306826623, 2D, Control Event, UP, 3 / 9
1749306826878, 2D, Control Event, UP, 2 / 9
1749306827840, 2D, Control Event, SELECT, 2 / 9
1749306827860, 2D, App Event, Target selected, 
1749306827882, 2D, State, WAIT, 
1749306846496, 2D, State, RESET, 
1749306846521, 2D, App Event, Target direction[Down_out_right], 11 / 9
1749306848979, 2D, Control Event, RIGHT, 7 / 6
1749306849087, 2D, Control Event, RIGHT, 7 / 7
1749306849289, 2D, Control Event, RIGHT, 7 / 8
1749306849403, 2D, Control Event, RIGHT, 7 / 9
1749306849578, 2D, Control Event, RIGHT, 7 / 9
1749306849759, 2D, Control Event, RIGHT, 7 / 9
1749306850522, 2D, Control Event, DOWN, 8 / 9
1749306850633, 2D, Control Event, DOWN, 9 / 9
1749306850811, 2D, Control Event, DOWN, 10 / 9
1749306851042, 2D, Control Event, DOWN, 11 / 9
1749306851263, 2D, Control Event, DOWN, 12 / 9
1749306852059, 2D, Control Event, UP, 11 / 9
1749306856025, 2D, Control Event, SELECT, 11 / 9
1749306856050, 2D, App Event, Target selected, 
1749306856071, 2D, State, WAIT, 
1749306874625, 2D, State, RESET, 
1749306874646, 2D, App Event, Target direction[Down_right], 9 / 7
1749306876518, 2D, Control Event, DOWN, 8 / 5
1749306876838, 2D, Control Event, DOWN, 9 / 5
1749306877347, 2D, Control Event, RIGHT, 9 / 6
1749306879812, 2D, Control Event, RIGHT, 9 / 7
1749306880433, 2D, Control Event, SELECT, 9 / 7
1749306880457, 2D, App Event, Target selected, 
1749306880479, 2D, State, END, 
1749306880500, 2D, App Event, 2D assignment finished, 
1749306880554, 2D, State, INIT, 
1749306880579, 2D, State, START, 
1749306880710, Horizontal, State, INIT, 
1749306880720, Horizontal, State, START, 
1749306882903, Horizontal, State, WAIT, 
1749306900027, Horizontal, State, RESET, 
1749306900047, Horizontal, App Event, Target direction[Left_out], 4
1749306902215, Horizontal, Control Event, LEFT, 8
1749306902353, Horizontal, Control Event, LEFT, 7
1749306902624, Horizontal, Control Event, LEFT, 6
1749306902693, Horizontal, Control Event, LEFT, 5
1749306902922, Horizontal, Control Event, LEFT, 4
1749306903732, Horizontal, Control Event, SELECT, 4
1749306903758, Horizontal, App Event, Target selected, 
1749306903785, Horizontal, State, WAIT, 
1749306922095, Horizontal, State, RESET, 
1749306922114, Horizontal, App Event, Target direction[Right], 12
1749306924014, Horizontal, Control Event, RIGHT, 10
1749306924334, Horizontal, Control Event, RIGHT, 11
1749306925768, Horizontal, Control Event, RIGHT, 12
1749306926447, Horizontal, Control Event, SELECT, 12
1749306926467, Horizontal, App Event, Target selected, 
1749306926487, Horizontal, State, WAIT, 
1749306946299, Horizontal, State, RESET, 
1749306946318, Horizontal, App Event, Target direction[Left], 5
1749306954534, Horizontal, Control Event, LEFT, 8
1749306954810, Horizontal, Control Event, LEFT, 7
