Timestamp, Selection, Source, Description, Index
1749235103743, Vertical, State, INIT, 
1749235103749, Vertical, State, START, 
1749235105352, Vertical, Control Event, UP, 12
1749235105379, Vertical, State, START, 
1749235105767, Vertical, Control Event, UP, 11
1749235105792, Vertical, State, START, 
1749235106115, Vertical, State, WAIT, 
1749235106270, Vertical, Control Event, UP, 10
1749235106294, Vertical, State, WAIT, 
1749235106490, Vertical, Control Event, UP, 9
1749235106515, Vertical, State, WAIT, 
1749235106577, Vertical, Control Event, UP, 8
1749235106600, Vertical, State, WAIT, 
1749235106787, Vertical, Control Event, UP, 7
1749235106812, Vertical, State, WAIT, 
1749235107822, Vertical, Control Event, DOWN, 8
1749235107852, Vertical, State, WAIT, 
1749235108022, Vertical, Control Event, DOWN, 9
1749235108046, Vertical, State, WAIT, 
1749235108138, Vertical, Control Event, DOWN, 10
1749235108162, Vertical, State, WAIT, 
1749235108423, Vertical, Control Event, DOWN, 11
1749235108447, Vertical, State, WAIT, 
1749235108517, Vertical, Control Event, DOWN, 12
1749235108534, Vertical, State, WAIT, 
1749235122117, Vertical, State, RESET, 
1749235122134, Vertical, App Event, Target direction[Up_out], 4
1749235123693, Vertical, Control Event, UP, 12
1749235123737, Vertical, Control Event, UP, 11
1749235123994, Vertical, Control Event, UP, 10
1749235124194, Vertical, Control Event, UP, 9
1749235124295, Vertical, Control Event, UP, 8
1749235124495, Vertical, Control Event, UP, 7
1749235124711, Vertical, Control Event, UP, 6
1749235125213, Vertical, Control Event, UP, 5
1749235125347, Vertical, Control Event, UP, 4
1749235128991, Vertical, Control Event, SELECT, 4
1749235129015, Vertical, App Event, Target selected, 
1749235129038, Vertical, State, WAIT, 
1749235153865, Vertical, State, RESET, 
1749235153886, Vertical, App Event, Target direction[Down], 18
1749235155704, Vertical, Control Event, DOWN, 14
1749235155940, Vertical, Control Event, DOWN, 15
1749235156458, Vertical, Control Event, DOWN, 16
1749235156724, Vertical, Control Event, DOWN, 17
1749235157443, Vertical, Control Event, DOWN, 18
1749235158369, Vertical, Control Event, SELECT, 18
1749235158392, Vertical, App Event, Target selected, 
1749235158417, Vertical, State, WAIT, 
1749235175134, Vertical, State, RESET, 
1749235175153, Vertical, App Event, Target direction[Down_out], 21
1749235177953, Vertical, Control Event, DOWN, 14
1749235178572, Vertical, Control Event, DOWN, 15
1749235178671, Vertical, Control Event, DOWN, 16
1749235178839, Vertical, Control Event, DOWN, 17
1749235179093, Vertical, Control Event, DOWN, 18
1749235179290, Vertical, Control Event, DOWN, 19
1749235179388, Vertical, Control Event, DOWN, 20
1749235179593, Vertical, Control Event, DOWN, 21
1749235179810, Vertical, Control Event, DOWN, 22
1749235179889, Vertical, Control Event, DOWN, 23
1749235180625, Vertical, Control Event, UP, 22
1749235181027, Vertical, Control Event, UP, 21
1749235181521, Vertical, Control Event, SELECT, 21
