Timestamp, Selection, Source, Description, Index
1753270776340, Vertical, State, INIT, 
1753270776345, Vertical, State, START, 
1753270778665, Vertical, State, WAIT, 
1753270797656, Vertical, State, RESET, 
1753270797685, Vertical, App Event, Target direction[Down_out], 24
1753270801391, Vertical, User Event, Clicked, 24
1753270801416, Vertical, App Event, Target selected, 
1753270801429, Vertical, State, WAIT, 
1753270819888, Vertical, State, RESET, 
1753270819911, Vertical, App Event, Target direction[Down], 14
1753270822364, Vertical, User Event, Clicked, 14
1753270822391, Vertical, App Event, Target selected, 
1753270822404, Vertical, State, WAIT, 
1753270847360, Vertical, State, RESET, 
1753270847378, Vertical, App Event, Target direction[Down_out], 21
1753270851310, Vertical, User Event, Clicked, 21
1753270851330, Vertical, App Event, Target selected, 
1753270851341, Vertical, State, WAIT, 
1753270875902, Vertical, State, RESET, 
1753270875922, Vertical, App Event, Target direction[Up_out], 5
1753270884665, Vertical, User Event, Clicked, 5
1753270884689, Vertical, App Event, Target selected, 
1753270884704, Vertical, State, WAIT, 
1753270904832, Vertical, State, RESET, 
1753270904850, Vertical, App Event, Target direction[Up], 11
1753270907124, Vertical, User Event, Clicked, 11
1753270907147, Vertical, App Event, Target selected, 
1753270907157, Vertical, State, WAIT, 
1753270926388, Vertical, State, RESET, 
1753270926409, Vertical, App Event, Target direction[Up_out], 2
1753270929488, Vertical, User Event, Clicked, 2
1753270929508, Vertical, App Event, Target selected, 
1753270929524, Vertical, State, WAIT, 
1753270951830, Vertical, State, RESET, 
1753270951848, Vertical, App Event, Target direction[Down], 18
1753270954000, Vertical, User Event, Clicked, 18
1753270954023, Vertical, App Event, Target selected, 
1753270954033, Vertical, State, WAIT, 
1753270975199, Vertical, State, RESET, 
1753270975220, Vertical, App Event, Target direction[Up], 11
1753270976688, Vertical, User Event, Clicked, 11
1753270976708, Vertical, App Event, Target selected, 
1753270976733, Vertical, State, END, 
1753270976746, Vertical, App Event, Vertical assignment finished, 
1753270976805, Vertical, State, INIT, 
1753270976818, Vertical, State, START, 
