Timestamp, Selection, Source, Description, Index
1748021013955, Horizontal, State, INIT, 
1748021013961, Horizontal, State, START, 
1748021016278, Horizontal, State, WAIT, 
1748021040888, Horizontal, State, RESET, 
1748021040901, Horizontal, App Event, Target direction[Left], 8
1748021042872, Horizontal, Control Event, LEFT, 8
1748021043043, Horizontal, Control Event, LEFT, 7
1748021043403, Horizontal, Control Event, SELECT, 7
1748021043991, Horizontal, Control Event, RIGHT, 8
1748021044487, Horizontal, Control Event, SELECT, 8
1748021044507, Horizontal, App Event, Target selected, 
1748021044532, Horizontal, State, WAIT, 
1748021064481, Horizontal, State, RESET, 
1748021064500, Horizontal, App Event, Target direction[Right], 12
1748021067905, Horizontal, Control Event, RIGHT, 10
1748021068107, Horizontal, Control Event, RIGHT, 11
1748021068193, Horizontal, Control Event, RIGHT, 12
1748021068364, Horizontal, Control Event, RIGHT, 13
1748021069328, Horizontal, Control Event, LEFT, 12
1748021069773, Horizontal, Control Event, SELECT, 12
1748021069795, Horizontal, App Event, Target selected, 
1748021069814, Horizontal, State, WAIT, 
1748021091646, Horizontal, State, RESET, 
1748021091668, Horizontal, App Event, Target direction[Right], 13
1748021094331, Horizontal, Control Event, RIGHT, 10
1748021094629, Horizontal, Control Event, RIGHT, 11
1748021094729, Horizontal, Control Event, RIGHT, 12
1748021095150, Horizontal, Control Event, RIGHT, 13
1748021095828, Horizontal, Control Event, SELECT, 13
1748021095848, Horizontal, App Event, Target selected, 
1748021095866, Horizontal, State, WAIT, 
1748021115666, Horizontal, State, RESET, 
1748021115684, Horizontal, App Event, Target direction[Left], 8
1748021117561, Horizontal, Control Event, LEFT, 8
1748021118158, Horizontal, Control Event, SELECT, 8
1748021118181, Horizontal, App Event, Target selected, 
1748021118204, Horizontal, State, WAIT, 
1748021140401, Horizontal, State, RESET, 
1748021140420, Horizontal, App Event, Target direction[Right_out], 16
1748021142545, Horizontal, Control Event, RIGHT, 10
1748021142864, Horizontal, Control Event, RIGHT, 11
1748021142965, Horizontal, Control Event, RIGHT, 12
1748021143164, Horizontal, Control Event, RIGHT, 13
1748021143266, Horizontal, Control Event, RIGHT, 14
1748021143563, Horizontal, Control Event, RIGHT, 15
1748021144303, Horizontal, Control Event, RIGHT, 16
1748021145914, Horizontal, Control Event, SELECT, 16
1748021145935, Horizontal, App Event, Target selected, 
1748021145955, Horizontal, State, WAIT, 
1748021165644, Horizontal, State, RESET, 
1748021165671, Horizontal, App Event, Target direction[Left_out], 2
1748021167433, Horizontal, Control Event, LEFT, 8
1748021167599, Horizontal, Control Event, LEFT, 7
1748021167852, Horizontal, Control Event, LEFT, 6
1748021167928, Horizontal, Control Event, LEFT, 5
1748021168069, Horizontal, Control Event, LEFT, 4
1748021168200, Horizontal, Control Event, LEFT, 3
1748021169022, Horizontal, Control Event, LEFT, 2
1748021169289, Horizontal, Control Event, LEFT, 1
1748021170457, Horizontal, Control Event, RIGHT, 2
1748021170917, Horizontal, Control Event, SELECT, 2
1748021170940, Horizontal, App Event, Target selected, 
1748021170962, Horizontal, State, WAIT, 
1748021189656, Horizontal, State, RESET, 
1748021189671, Horizontal, App Event, Target direction[Right_out], 14
1748021191515, Horizontal, Control Event, RIGHT, 10
1748021191699, Horizontal, Control Event, RIGHT, 11
1748021191900, Horizontal, Control Event, RIGHT, 12
1748021192002, Horizontal, Control Event, RIGHT, 13
1748021192220, Horizontal, Control Event, RIGHT, 14
1748021193315, Horizontal, Control Event, SELECT, 14
1748021193336, Horizontal, App Event, Target selected, 
1748021193357, Horizontal, State, WAIT, 
1748021217449, Horizontal, State, RESET, 
1748021217475, Horizontal, App Event, Target direction[Left_out], 1
1748021219505, Horizontal, Control Event, LEFT, 8
1748021220376, Horizontal, Control Event, LEFT, 7
1748021220576, Horizontal, Control Event, LEFT, 6
1748021220676, Horizontal, Control Event, LEFT, 5
1748021220993, Horizontal, Control Event, LEFT, 4
1748021221593, Horizontal, Control Event, LEFT, 3
1748021222329, Horizontal, Control Event, LEFT, 2
