Timestamp, Selection, Source, Description, Index
1750423439299, Horizontal, State, INIT, 
1750423439304, Horizontal, State, START, 
1750423439774, Horizontal, User Event, Clicked, 8
1750423439794, Horizontal, State, START, 
1750423441807, Horizontal, State, WAIT, 
1750423463982, Horizontal, State, RESET, 
1750423463992, Horizontal, App Event, Target direction[Right_out], 16
1750423466470, Horizontal, Control Event, RIGHT, 10
1750423468414, Horizontal, Control Event, RIGHT, 11
1750423468914, Horizontal, Control Event, RIGHT, 12
1750423469951, Horizontal, Control Event, RIGHT, 13
1750423470870, Horizontal, Control Event, RIGHT, 14
1750423471891, Horizontal, Control Event, RIGHT, 15
1750423472053, Horizontal, Control Event, RIGHT, 16
1750423472855, Horizontal, Control Event, SELECT, 16
1750423472877, Horizontal, App Event, Target selected, 
1750423472899, Horizontal, State, WAIT, 
1750423490080, Horizontal, State, RESET, 
1750423490097, Horizontal, App Event, Target direction[Left_out], 4
1750423492023, Horizontal, Control Event, LEFT, 8
1750423492204, Horizontal, Control Event, LEFT, 7
1750423492461, Horizontal, Control Event, LEFT, 6
1750423492977, Horizontal, Control Event, LEFT, 5
1750423493443, Horizontal, Control Event, LEFT, 4
1750423494585, Horizontal, Control Event, SELECT, 4
1750423494608, Horizontal, App Event, Target selected, 
1750423494631, Horizontal, State, WAIT, 
1750423513842, Horizontal, State, RESET, 
1750423513865, Horizontal, App Event, Target direction[Right], 13
1750423515183, Horizontal, Control Event, RIGHT, 10
1750423515403, Horizontal, Control Event, RIGHT, 11
1750423520000, Horizontal, Control Event, RIGHT, 12
1750423522562, Horizontal, Control Event, RIGHT, 13
1750423523409, Horizontal, Control Event, SELECT, 13
1750423523433, Horizontal, App Event, Target selected, 
1750423523456, Horizontal, State, WAIT, 
1750423543586, Horizontal, State, RESET, 
1750423543602, Horizontal, App Event, Target direction[Left], 6
1750423545675, Horizontal, Control Event, LEFT, 8
1750423545858, Horizontal, Control Event, LEFT, 7
1750423546895, Horizontal, Control Event, LEFT, 6
1750423548012, Horizontal, Control Event, SELECT, 6
