Timestamp, Selection, Source, Description, Index
1754216526502, 2D, State, INIT, 
1754216526506, 2D, State, START, 
1754216529086, 2D, State, WAIT, 
1754216529297, 2D, Control Event, UP, 6 / 5
1754216529316, 2D, State, WAIT, 
1754216529615, 2D, Control Event, UP, 5 / 5
1754216529636, 2D, State, WAIT, 
1754216529861, 2D, Control Event, UP, 4 / 5
1754216529879, 2D, State, WAIT, 
1754216530234, 2D, Control Event, UP, 3 / 5
1754216530286, 2D, State, WAIT, 
1754216546975, 2D, State, RESET, 
1754216546998, 2D, App Event, Target direction[Up_left], 6 / 4
1754216549295, 2D, Control Event, LEFT, 7 / 4
1754216549999, 2D, Control Event, UP, 6 / 4
1754216550953, 2D, Control Event, SELECT, 6 / 4
1754216550980, 2D, App Event, Target selected, 
1754216551002, 2D, State, WAIT, 
1754216566449, 2D, State, RESET, 
1754216566467, 2D, App Event, Target direction[Down_out_left], 13 / 1
1754216569038, 2D, Control Event, LEFT, 7 / 4
1754216569337, 2D, Control Event, LEFT, 7 / 3
1754216569756, 2D, Control Event, LEFT, 7 / 2
1754216570376, 2D, Control Event, LEFT, 7 / 1
1754216572818, 2D, Control Event, DOWN, 8 / 1
1754216573120, 2D, Control Event, DOWN, 9 / 1
1754216573440, 2D, Control Event, DOWN, 10 / 1
1754216573838, 2D, Control Event, DOWN, 11 / 1
1754216574233, 2D, Control Event, DOWN, 12 / 1
1754216574914, 2D, Control Event, DOWN, 13 / 1
1754216575605, 2D, Control Event, SELECT, 13 / 1
1754216575629, 2D, App Event, Target selected, 
1754216575651, 2D, State, WAIT, 
1754216575778, 2D, Control Event, SELECT, 13 / 1
1754216575788, 2D, State, WAIT, 
1754216591569, 2D, State, RESET, 
1754216591590, 2D, App Event, Target direction[Up_out_right], 2 / 8
1754216594220, 2D, Control Event, RIGHT, 7 / 6
1754216594438, 2D, Control Event, RIGHT, 7 / 7
1754216594838, 2D, Control Event, RIGHT, 7 / 8
1754216595357, 2D, Control Event, RIGHT, 7 / 9
1754216597100, 2D, Control Event, LEFT, 7 / 8
1754216597916, 2D, Control Event, UP, 6 / 8
1754216598235, 2D, Control Event, UP, 5 / 8
1754216598537, 2D, Control Event, UP, 4 / 8
1754216598736, 2D, Control Event, UP, 3 / 8
1754216599057, 2D, Control Event, UP, 2 / 8
1754216599556, 2D, Control Event, UP, 1 / 8
1754216600259, 2D, Control Event, DOWN, 2 / 8
1754216600926, 2D, Control Event, SELECT, 2 / 8
1754216600948, 2D, App Event, Target selected, 
1754216600972, 2D, State, WAIT, 
1754216601068, 2D, Control Event, SELECT, 2 / 8
1754216601088, 2D, State, WAIT, 
1754216623896, 2D, State, RESET, 
1754216623918, 2D, App Event, Target direction[Down_right], 8 / 6
1754216626380, 2D, Control Event, RIGHT, 7 / 6
1754216627736, 2D, Control Event, DOWN, 8 / 6
1754216628263, 2D, Control Event, SELECT, 8 / 6
1754216628286, 2D, App Event, Target selected, 
1754216628311, 2D, State, WAIT, 
1754216651788, 2D, State, RESET, 
1754216651804, 2D, App Event, Target direction[Up_right], 5 / 6
1754216654702, 2D, Control Event, RIGHT, 7 / 6
1754216655195, 2D, Control Event, UP, 6 / 6
1754216655518, 2D, Control Event, UP, 5 / 6
1754216655671, 2D, Control Event, UP, 4 / 6
1754216655937, 2D, Control Event, SELECT, 4 / 6
1754216656101, 2D, Control Event, SELECT, 4 / 6
1754216656893, 2D, Control Event, DOWN, 5 / 6
1754216657237, 2D, Control Event, SELECT, 5 / 6
1754216657258, 2D, App Event, Target selected, 
1754216657277, 2D, State, WAIT, 
1754216679025, 2D, State, RESET, 
1754216679046, 2D, App Event, Target direction[Down_left], 9 / 4
1754216681360, 2D, Control Event, LEFT, 7 / 4
