Timestamp, Selection, Source, Description, Index
1750426722932, Vertical, State, INIT, 
1750426722939, Vertical, State, START, 
1750426725139, Vertical, State, WAIT, 
1750426745673, Vertical, State, RESET, 
1750426745700, Vertical, App Event, Target direction[Up_out], 4
1750426748550, Vertical, User Event, UP clicked, 
1750426748587, Vertical, Control Event, UP, 12
1750426750395, Vertical, User Event, UP clicked, 
1750426750426, Vertical, Control Event, UP, 11
1750426751003, Vertical, User Event, UP clicked, 
1750426751038, Vertical, Control Event, UP, 10
1750426751649, Vertical, User Event, UP clicked, 
1750426751681, Vertical, Control Event, UP, 9
1750426756995, Vertical, User Event, Clicked, 4
1750426757013, Vertical, App Event, Target selected, 
1750426757020, Vertical, State, WAIT, 
1750426778167, Vertical, State, RESET, 
1750426778190, Vertical, App Event, Target direction[Up], 7
1750426779636, Vertical, User Event, Clicked, 7
1750426779656, Vertical, App Event, Target selected, 
1750426779667, Vertical, State, WAIT, 
1750426803553, Vertical, State, RESET, 
1750426803574, Vertical, App Event, Target direction[Down], 18
1750426807005, Vertical, User Event, Clicked, 18
1750426807028, Vertical, App Event, Target selected, 
1750426807040, Vertical, State, WAIT, 
1750426828087, Vertical, State, RESET, 
1750426828105, Vertical, App Event, Target direction[Down_out], 20
1750426830356, Vertical, User Event, DOWN clicked, 
1750426830386, Vertical, Control Event, DOWN, 14
1750426831793, Vertical, User Event, DOWN clicked, 
1750426831823, Vertical, Control Event, DOWN, 15
1750426835338, Vertical, User Event, DOWN clicked, 
1750426835370, Vertical, Control Event, DOWN, 16
1750426835615, Vertical, User Event, DOWN clicked, 
1750426835646, Vertical, Control Event, DOWN, 17
1750426835823, Vertical, User Event, DOWN clicked, 
1750426835859, Vertical, Control Event, DOWN, 18
1750426836064, Vertical, User Event, DOWN clicked, 
1750426836098, Vertical, Control Event, DOWN, 19
1750426840611, Vertical, User Event, DOWN clicked, 
1750426840648, Vertical, Control Event, DOWN, 20
1750426841889, Vertical, User Event, Clicked, 20
1750426841910, Vertical, App Event, Target selected, 
1750426841922, Vertical, State, WAIT, 
1750426866402, Vertical, State, RESET, 
1750426866429, Vertical, App Event, Target direction[Down], 19
1750426868309, Vertical, User Event, Clicked, 19
1750426868329, Vertical, App Event, Target selected, 
1750426868337, Vertical, State, WAIT, 
1750426890431, Vertical, State, RESET, 
1750426890450, Vertical, App Event, Target direction[Down_out], 20
1750426893101, Vertical, User Event, DOWN clicked, 
1750426893132, Vertical, Control Event, DOWN, 14
1750426893429, Vertical, User Event, DOWN clicked, 
1750426893456, Vertical, Control Event, DOWN, 15
1750426893646, Vertical, User Event, DOWN clicked, 
1750426893673, Vertical, Control Event, DOWN, 16
1750426893846, Vertical, User Event, DOWN clicked, 
1750426893874, Vertical, Control Event, DOWN, 17
1750426894071, Vertical, User Event, DOWN clicked, 
1750426894098, Vertical, Control Event, DOWN, 18
1750426894287, Vertical, User Event, DOWN clicked, 
1750426894317, Vertical, Control Event, DOWN, 19
1750426894489, Vertical, User Event, DOWN clicked, 
1750426894528, Vertical, Control Event, DOWN, 20
1750426895351, Vertical, User Event, Clicked, 20
1750426895368, Vertical, App Event, Target selected, 
1750426895377, Vertical, State, WAIT, 
1750426895431, Vertical, User Event, Clicked, 20
1750426895440, Vertical, State, WAIT, 
1750426915966, Vertical, State, RESET, 
