Timestamp, Selection, Source, Description, Index
1757169958897, Horizontal, State, INIT, 
1757169958903, Horizontal, State, START, 
1757169961282, Horizontal, State, WAIT, 
1757169984382, Horizontal, State, RESET, 
1757169984403, Horizontal, App Event, Target direction[Right], 13
1757169986693, Horizontal, Control Event, RIGHT, 10
1757169987779, Horizontal, Control Event, RIGHT, 11
1757169987864, Horizontal, Control Event, RIGHT, 12
1757169988263, Horizontal, Control Event, RIGHT, 13
1757169989037, Horizontal, Control Event, SELECT, 13
1757169989061, Horizontal, App Event, Target selected, 
1757169989086, Horizontal, State, WAIT, 
1757170004988, Horizontal, State, RESET, 
1757170005010, Horizontal, App Event, Target direction[Right_out], 16
1757170007533, Horizontal, Control Event, RIGHT, 10
1757170007665, Horizontal, Control Event, RIGHT, 11
1757170008358, Horizontal, Control Event, RIGHT, 12
1757170009171, Horizontal, Control Event, RIGHT, 13
1757170009356, Horizontal, Control Event, RIGHT, 14
1757170009450, Horizontal, Control Event, RIGHT, 15
1757170011516, Horizontal, Control Event, RIGHT, 16
1757170011634, Horizontal, Control Event, RIGHT, 17
1757170011806, Horizontal, Control Event, RIGHT, 17
1757170013471, Horizontal, Control Event, LEFT, 16
1757170013669, Horizontal, Control Event, LEFT, 15
1757170015308, Horizontal, Control Event, RIGHT, 16
1757170015371, Horizontal, Control Event, RIGHT, 17
1757170016318, Horizontal, Control Event, LEFT, 16
1757170017188, Horizontal, Control Event, SELECT, 16
1757170017211, Horizontal, App Event, Target selected, 
1757170017219, Horizontal, State, WAIT, 
1757170035013, Horizontal, State, RESET, 
1757170035034, Horizontal, App Event, Target direction[Left], 7
1757170037207, Horizontal, Control Event, LEFT, 8
1757170037325, Horizontal, Control Event, LEFT, 7
1757170038190, Horizontal, Control Event, SELECT, 7
1757170038217, Horizontal, App Event, Target selected, 
1757170038242, Horizontal, State, WAIT, 
1757170061313, Horizontal, State, RESET, 
1757170061334, Horizontal, App Event, Target direction[Right_out], 17
1757170063426, Horizontal, Control Event, RIGHT, 10
1757170063627, Horizontal, Control Event, RIGHT, 11
1757170064565, Horizontal, Control Event, RIGHT, 12
1757170064691, Horizontal, Control Event, RIGHT, 13
1757170065761, Horizontal, Control Event, RIGHT, 14
1757170066117, Horizontal, Control Event, RIGHT, 15
1757170066853, Horizontal, Control Event, RIGHT, 16
1757170066997, Horizontal, Control Event, RIGHT, 17
1757170067881, Horizontal, Control Event, SELECT, 17
1757170067911, Horizontal, App Event, Target selected, 
1757170067940, Horizontal, State, WAIT, 
1757170090951, Horizontal, State, RESET, 
1757170090971, Horizontal, App Event, Target direction[Left], 8
1757170094866, Horizontal, Control Event, LEFT, 8
1757170095520, Horizontal, Control Event, SELECT, 8
1757170095544, Horizontal, App Event, Target selected, 
1757170095573, Horizontal, State, WAIT, 
1757170120073, Horizontal, State, RESET, 
1757170120092, Horizontal, App Event, Target direction[Right], 10
1757170123297, Horizontal, Control Event, RIGHT, 10
1757170123481, Horizontal, Control Event, RIGHT, 11
1757170124344, Horizontal, Control Event, LEFT, 10
1757170125013, Horizontal, Control Event, SELECT, 10
1757170125039, Horizontal, App Event, Target selected, 
1757170125063, Horizontal, State, WAIT, 
1757170140883, Horizontal, State, RESET, 
1757170140901, Horizontal, App Event, Target direction[Left_out], 2
1757170144319, Horizontal, Control Event, LEFT, 8
1757170144472, Horizontal, Control Event, LEFT, 7
1757170145238, Horizontal, Control Event, LEFT, 6
1757170146457, Horizontal, Control Event, LEFT, 5
1757170146675, Horizontal, Control Event, LEFT, 4
1757170147793, Horizontal, Control Event, LEFT, 3
1757170147901, Horizontal, Control Event, LEFT, 2
1757170148779, Horizontal, Control Event, SELECT, 2
1757170148802, Horizontal, App Event, Target selected, 
1757170148825, Horizontal, State, WAIT, 
1757170169310, Horizontal, State, RESET, 
1757170169328, Horizontal, App Event, Target direction[Left_out], 1
1757170171937, Horizontal, Control Event, LEFT, 8
1757170172115, Horizontal, Control Event, LEFT, 7
1757170172654, Horizontal, Control Event, LEFT, 6
1757170173813, Horizontal, Control Event, LEFT, 5
1757170174013, Horizontal, Control Event, LEFT, 4
1757170174119, Horizontal, Control Event, LEFT, 3
1757170175250, Horizontal, Control Event, LEFT, 2
1757170175356, Horizontal, Control Event, LEFT, 1
1757170175548, Horizontal, Control Event, LEFT, 1
1757170176118, Horizontal, Control Event, SELECT, 1
1757170176142, Horizontal, App Event, Target selected, 
1757170176165, Horizontal, State, END, 
1757170176187, Horizontal, App Event, Horizontal assignment finished, 
1757170176294, Horizontal, State, INIT, 
1757170176319, Horizontal, State, START, 
1757170176492, Vertical, State, INIT, 
1757170176513, Vertical, State, START, 
1757170178890, Vertical, State, WAIT, 
1757170196532, Vertical, State, RESET, 
1757170196551, Vertical, App Event, Target direction[Up_out], 6
1757170199620, Vertical, Control Event, UP, 12
1757170199819, Vertical, Control Event, UP, 11
1757170201559, Vertical, Control Event, UP, 10
1757170201757, Vertical, Control Event, UP, 9
1757170202545, Vertical, Control Event, UP, 8
1757170203513, Vertical, Control Event, UP, 7
1757170204086, Vertical, Control Event, UP, 6
1757170204215, Vertical, Control Event, UP, 5
1757170204532, Vertical, Control Event, UP, 4
1757170205140, Vertical, Control Event, DOWN, 5
1757170205251, Vertical, Control Event, DOWN, 6
1757170205441, Vertical, Control Event, DOWN, 7
1757170206161, Vertical, Control Event, UP, 6
1757170206729, Vertical, Control Event, SELECT, 6
1757170206750, Vertical, App Event, Target selected, 
1757170206772, Vertical, State, WAIT, 
1757170222251, Vertical, State, RESET, 
1757170222266, Vertical, App Event, Target direction[Up_out], 1
1757170223990, Vertical, Control Event, UP, 12
1757170224188, Vertical, Control Event, UP, 11
1757170224299, Vertical, Control Event, UP, 10
1757170225109, Vertical, Control Event, UP, 9
1757170226955, Vertical, Control Event, UP, 8
1757170227554, Vertical, Control Event, UP, 7
1757170227770, Vertical, Control Event, UP, 6
1757170227873, Vertical, Control Event, UP, 5
1757170229254, Vertical, Control Event, UP, 4
1757170229954, Vertical, Control Event, UP, 3
1757170230129, Vertical, Control Event, UP, 2
1757170230328, Vertical, Control Event, UP, 1
1757170231097, Vertical, Control Event, SELECT, 1
1757170231123, Vertical, App Event, Target selected, 
1757170231147, Vertical, State, WAIT, 
1757170247806, Vertical, State, RESET, 
1757170247824, Vertical, App Event, Target direction[Up], 12
1757170250299, Vertical, Control Event, UP, 12
1757170250974, Vertical, Control Event, SELECT, 12
1757170250998, Vertical, App Event, Target selected, 
1757170251022, Vertical, State, WAIT, 
1757170269559, Vertical, State, RESET, 
1757170269577, Vertical, App Event, Target direction[Up], 11
1757170272713, Vertical, Control Event, UP, 12
1757170272917, Vertical, Control Event, UP, 11
1757170273624, Vertical, Control Event, SELECT, 11
1757170273648, Vertical, App Event, Target selected, 
1757170273671, Vertical, State, WAIT, 
1757170291331, Vertical, State, RESET, 
1757170291348, Vertical, App Event, Target direction[Down_out], 24
