Timestamp, Selection, Source, Description, Index
1752924451327, 2D, State, INIT, 
1752924451332, 2D, State, START, 
1752924452165, 2D, Control Event, RIGHT, 7 / 6
1752924452198, 2D, State, START, 
1752924452555, 2D, User Event, Clicked, 6 / 5
1752924452588, 2D, State, START, 
1752924454508, 2D, State, WAIT, 
1752924476255, 2D, State, RESET, 
1752924476275, 2D, App Event, Target direction[Up_out_left], 3 / 2
1752924480840, 2D, Control Event, LEFT, 7 / 4
1752924481355, 2D, Control Event, LEFT, 7 / 3
1752924482431, 2D, Control Event, LEFT, 7 / 2
1752924482650, 2D, Control Event, LEFT, 7 / 1
1752924482848, 2D, Control Event, LEFT, 7 / 1
1752924483889, 2D, Control Event, UP, 6 / 1
1752924484064, 2D, Control Event, UP, 5 / 1
1752924484826, 2D, Control Event, RIGHT, 5 / 2
1752924486226, 2D, Control Event, UP, 4 / 2
1752924487359, 2D, Control Event, UP, 3 / 2
1752924491957, 2D, Control Event, SELECT, 3 / 2
1752924491977, 2D, App Event, Target selected, 
1752924491997, 2D, State, WAIT, 
1752924513615, 2D, State, RESET, 
1752924513638, 2D, App Event, Target direction[Up_left], 5 / 4
1752924518476, 2D, Control Event, LEFT, 7 / 4
1752924519392, 2D, Control Event, LEFT, 7 / 3
1752924519481, 2D, Control Event, UP, 6 / 3
1752924520348, 2D, Control Event, UP, 5 / 3
1752924524306, 2D, Control Event, RIGHT, 5 / 4
1752924524470, 2D, Control Event, RIGHT, 5 / 5
1752924527028, 2D, Control Event, LEFT, 5 / 4
1752924533800, 2D, User Event, No target selected, 5 / 4
1752924533845, 2D, State, WAIT, 
1752924558538, 2D, State, RESET, 
1752924558554, 2D, App Event, Target direction[Up_right], 6 / 6
1752924564144, 2D, Control Event, RIGHT, 7 / 6
1752924565104, 2D, Control Event, UP, 6 / 6
1752924565999, 2D, Control Event, SELECT, 6 / 6
1752924566023, 2D, App Event, Target selected, 
1752924566048, 2D, State, WAIT, 
1752924584616, 2D, State, RESET, 
1752924584636, 2D, App Event, Target direction[Down_out_left], 13 / 1
1752924588616, 2D, Control Event, LEFT, 7 / 4
1752924589538, 2D, Control Event, LEFT, 7 / 3
1752924590455, 2D, Control Event, LEFT, 7 / 2
1752924593737, 2D, Control Event, LEFT, 7 / 1
1752924596194, 2D, Control Event, DOWN, 8 / 1
1752924596282, 2D, Control Event, DOWN, 9 / 1
1752924597057, 2D, Control Event, DOWN, 10 / 1
1752924598033, 2D, Control Event, DOWN, 11 / 1
1752924599554, 2D, Control Event, DOWN, 12 / 1
1752924600798, 2D, Control Event, DOWN, 13 / 1
1752924604763, 2D, User Event, No target selected, 13 / 1
1752924604801, 2D, State, WAIT, 
1752924625898, 2D, State, RESET, 
1752924625916, 2D, App Event, Target direction[Up_out_right], 2 / 8
1752924629587, 2D, Control Event, UP, 6 / 5
1752924630487, 2D, Control Event, UP, 5 / 5
1752924631508, 2D, Control Event, UP, 4 / 5
1752924632541, 2D, Control Event, UP, 3 / 5
1752924633852, 2D, Control Event, UP, 2 / 5
1752924635930, 2D, Control Event, SELECT, 2 / 5
1752924636825, 2D, Control Event, RIGHT, 2 / 6
1752924637646, 2D, Control Event, RIGHT, 2 / 7
1752924638462, 2D, Control Event, RIGHT, 2 / 8
1752924640404, 2D, Control Event, SELECT, 2 / 8
1752924640427, 2D, App Event, Target selected, 
1752924640451, 2D, State, WAIT, 
1752924656044, 2D, State, RESET, 
1752924656062, 2D, App Event, Target direction[Down_out_right], 12 / 8
1752924658421, 2D, Control Event, RIGHT, 7 / 6
1752924658546, 2D, Control Event, RIGHT, 7 / 7
1752924661383, 2D, Control Event, RIGHT, 7 / 8
1752924663042, 2D, Control Event, DOWN, 8 / 8
1752924664161, 2D, Control Event, RIGHT, 8 / 9
1752924665101, 2D, Control Event, DOWN, 9 / 9
1752924666021, 2D, Control Event, RIGHT, 9 / 9
1752924667045, 2D, Control Event, RIGHT, 9 / 9
1752924667946, 2D, Control Event, DOWN, 10 / 9
1752924668144, 2D, Control Event, RIGHT, 10 / 9
1752924668831, 2D, Control Event, SELECT, 10 / 9
1752924669583, 2D, Control Event, DOWN, 11 / 9
1752924670233, 2D, Control Event, SELECT, 11 / 9
1752924671343, 2D, Control Event, LEFT, 11 / 8
1752924672162, 2D, Control Event, RIGHT, 11 / 9
1752924673784, 2D, Control Event, RIGHT, 11 / 9
1752924676102, 2D, User Event, No target selected, 12 / 8
1752924676137, 2D, State, WAIT, 
1752924676322, 2D, Control Event, DOWN, 12 / 9
1752924676347, 2D, State, WAIT, 
1752924697156, 2D, State, RESET, 
1752924697187, 2D, App Event, Target direction[Down_left], 10 / 4
1752924699441, 2D, Control Event, LEFT, 7 / 4
1752924702656, 2D, Control Event, DOWN, 8 / 4
1752924703695, 2D, Control Event, DOWN, 9 / 4
1752924703870, 2D, Control Event, DOWN, 10 / 4
1752924704946, 2D, Control Event, SELECT, 10 / 4
1752924704968, 2D, App Event, Target selected, 
1752924704990, 2D, State, WAIT, 
1752924729941, 2D, State, RESET, 
1752924729961, 2D, App Event, Target direction[Down_right], 10 / 7
1752924736354, 2D, Control Event, RIGHT, 7 / 6
1752924736446, 2D, Control Event, RIGHT, 7 / 7
1752924737558, 2D, Control Event, RIGHT, 7 / 8
1752924738913, 2D, Control Event, DOWN, 8 / 8
1752924739847, 2D, Control Event, DOWN, 9 / 8
1752924740961, 2D, Control Event, DOWN, 10 / 8
1752924743017, 2D, Control Event, LEFT, 10 / 7
1752924744104, 2D, Control Event, SELECT, 10 / 7
1752924744129, 2D, App Event, Target selected, 
1752924744156, 2D, State, END, 
1752924744181, 2D, App Event, 2D assignment finished, 
1752924744277, 2D, State, INIT, 
1752924744298, 2D, State, START, 
1752924744503, Vertical, State, INIT, 
1752924744518, Vertical, State, START, 
1752924746824, Vertical, State, WAIT, 
1752924769323, Vertical, State, RESET, 
1752924769344, Vertical, App Event, Target direction[Up], 7
1752924773011, Vertical, Control Event, UP, 12
1752924774032, Vertical, Control Event, UP, 11
1752924774867, Vertical, Control Event, UP, 10
1752924775748, Vertical, Control Event, UP, 9
1752924776467, Vertical, Control Event, UP, 8
1752924778108, Vertical, Control Event, UP, 7
1752924778986, Vertical, Control Event, SELECT, 7
1752924779008, Vertical, App Event, Target selected, 
1752924779032, Vertical, State, WAIT, 
1752924795372, Vertical, State, RESET, 
1752924795393, Vertical, App Event, Target direction[Down_out], 23
1752924798282, Vertical, Control Event, DOWN, 14
1752924798883, Vertical, Control Event, DOWN, 15
1752924799793, Vertical, Control Event, DOWN, 16
1752924802268, Vertical, Control Event, DOWN, 17
1752924808262, Vertical, Control Event, DOWN, 18
1752924809201, Vertical, Control Event, DOWN, 19
1752924810465, Vertical, Control Event, DOWN, 20
1752924811684, Vertical, Control Event, DOWN, 21
1752924812824, Vertical, Control Event, DOWN, 22
1752924814352, Vertical, Control Event, DOWN, 23
1752924815516, Vertical, User Event, No target selected, 23
1752924815557, Vertical, State, WAIT, 
1752924815757, Vertical, Control Event, SELECT, 23
1752924815780, Vertical, State, WAIT, 
1752924833353, Vertical, State, RESET, 
1752924833377, Vertical, App Event, Target direction[Down], 14
1752924837347, Vertical, Control Event, SELECT, 13
1752924838226, Vertical, Control Event, DOWN, 14
1752924839206, Vertical, Control Event, SELECT, 14
1752924839233, Vertical, App Event, Target selected, 
1752924839256, Vertical, State, WAIT, 
1752924855126, Vertical, State, RESET, 
1752924855143, Vertical, App Event, Target direction[Down], 15
1752924857366, Vertical, Control Event, DOWN, 14
1752924858187, Vertical, Control Event, DOWN, 15
1752924858802, Vertical, Control Event, SELECT, 15
1752924858827, Vertical, App Event, Target selected, 
1752924858854, Vertical, State, WAIT, 
1752924877122, Vertical, State, RESET, 
1752924877141, Vertical, App Event, Target direction[Up_out], 2
1752924879581, Vertical, Control Event, UP, 12
1752924881018, Vertical, Control Event, UP, 11
1752924881832, Vertical, Control Event, UP, 10
1752924882037, Vertical, Control Event, UP, 9
1752924882703, Vertical, Control Event, UP, 8
1752924883468, Vertical, Control Event, UP, 7
1752924885350, Vertical, Control Event, UP, 6
1752924886359, Vertical, Control Event, UP, 5
1752924887358, Vertical, Control Event, UP, 4
1752924891427, Vertical, Control Event, UP, 3
