ProbID	Method	Layout	TaskCompletionTime	ErrorRate	Overshoot	OvershootTime	NoTargetSelected
14	Buttons	Horizontal	6.278125	0	0.000000	0.000000	0.000000
14	Buttons	2D	8.144125	0	0.250000	0.641500	0.000000
14	Direct Touch	Vertical	7.745625	0	-0.375000	0.108000	1.000000
14	Direct Touch	Horizontal	4.687000	2	-0.500000	0.000000	0.000000
14	Direct Touch	2D	5.269000	5	-0.875000	0.000000	1.000000
14	Indirect Touch	Vertical	9.858750	0	0.375000	0.898000	0.000000
14	Indirect Touch	Horizontal	7.046750	0	0.125000	0.111625	0.000000
14	Indirect Touch	2D	13.149375	3	0.125000	0.360125	2.000000
15	Analogue Stick	Vertical	8.357625	0	0.250000	0.658000	1.000000
15	Analogue Stick	Horizontal	10.491250	0	0.375000	0.890500	2.000000
15	Analogue Stick	2D	10.697500	0	0.875000	1.618125	1.000000
15	Buttons	Vertical	5.726125	0	0.250000	0.432125	0.000000
15	Buttons	Horizontal	5.871000	0	0.125000	0.303250	0.000000
15	Buttons	2D	6.974875	3	0.625000	1.222125	0.000000
15	Direct Touch	Vertical	2.200625	1	-1.000000	0.000000	0.000000
15	Direct Touch	Horizontal	2.067250	0	-1.000000	0.000000	0.000000
15	Direct Touch	2D	3.928500	1	-1.000000	0.000000	0.000000
15	Indirect Touch	Vertical	7.214750	3	0.750000	1.324750	0.000000
15	Indirect Touch	Horizontal	10.272750	1	0.250000	0.847625	2.000000
15	Indirect Touch	2D	12.297750	7	0.250000	0.423250	3.000000
16	Analogue Stick	Vertical	5.495750	0	0.875000	0.826750	0.000000
16	Analogue Stick	Horizontal	7.715500	0	0.125000	0.200875	1.000000
16	Analogue Stick	2D	16.093500	0	0.250000	0.386875	4.000000
16	Buttons	Vertical	7.455375	2	1.125000	1.954125	0.000000
16	Buttons	Horizontal	5.475250	0	0.500000	1.208875	0.000000
16	Buttons	2D	7.142625	0	0.375000	0.946875	0.000000
16	Direct Touch	Vertical	3.717875	0	-1.000000	0.000000	0.000000
16	Direct Touch	Horizontal	3.806500	0	-1.000000	0.000000	0.000000
16	Direct Touch	2D	4.054750	0	-1.000000	0.000000	0.000000
16	Indirect Touch	Vertical	6.674500	1	0.500000	1.100125	0.000000
16	Indirect Touch	Horizontal	4.944625	0	0.125000	0.263750	0.000000
16	Indirect Touch	2D	7.839750	1	0.250000	0.728500	0.000000
17	Analogue Stick	Vertical	6.758625	0	0.250000	0.539375	0.000000
17	Analogue Stick	Horizontal	7.903000	0	0.000000	0.000000	0.000000
17	Analogue Stick	2D	10.509625	0	0.750000	1.845750	0.000000
17	Buttons	Vertical	6.766625	0	0.500000	1.389500	0.000000
17	Buttons	Horizontal	5.278125	0	0.125000	0.409000	0.000000
17	Buttons	2D	7.411625	0	0.000000	0.000000	0.000000
17	Direct Touch	Vertical	3.807875	0	-1.000000	0.000000	0.000000
17	Direct Touch	Horizontal	3.714750	0	-1.000000	0.000000	0.000000
17	Direct Touch	2D	4.166375	0	-1.000000	0.000000	0.000000
17	Indirect Touch	Vertical	8.861250	0	1.000000	1.687375	0.000000
17	Indirect Touch	Horizontal	7.740125	1	0.625000	1.208125	0.000000
17	Indirect Touch	2D	10.945375	2	0.375000	0.635750	0.000000
18	Analogue Stick	Vertical	13.532875	0	0.750000	2.144375	2.000000
18	Analogue Stick	Horizontal	11.167875	0	0.625000	0.948125	1.000000
18	Analogue Stick	2D	12.232375	1	0.625000	0.887125	1.000000
18	Buttons	Vertical	8.098500	0	0.500000	1.872000	0.000000
18	Buttons	Horizontal	4.966625	0	0.000000	0.000000	0.000000
18	Buttons	2D	11.641000	0	0.500000	1.780125	1.000000
18	Direct Touch	Vertical	3.206250	0	-1.000000	0.000000	0.000000
18	Direct Touch	Horizontal	3.687625	2	-0.875000	0.000000	0.000000
18	Direct Touch	2D	6.652750	1	-1.000000	0.000000	0.000000
